Comunidades y Ciudades Autónomas	Tasa de riesgo de pobreza	Periodo	Total
11 Extremadura	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2009	30,9
11 Extremadura	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2008	35,3
11 Extremadura	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2020	28,1
11 Extremadura	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2019	30,4
11 Extremadura	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2018	34,5
11 Extremadura	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2017	33,5
11 Extremadura	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2016	26,7
11 Extremadura	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2015	24,1
11 Extremadura	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2014	30,4
11 Extremadura	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2013	28,6
11 Extremadura	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2012	29,0
11 Extremadura	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2011	26,6
11 Extremadura	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2010	28,7
11 Extremadura	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2009	25,7
11 Extremadura	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2008	30,4
12 Galicia	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2020	22,1
12 Galicia	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2019	20,0
12 Galicia	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2018	18,8
12 Galicia	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2017	18,7
12 Galicia	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2016	19,0
12 Galicia	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2015	19,4
12 Galicia	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2014	15,4
12 Galicia	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2013	17,2
12 Galicia	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2012	18,3
12 Galicia	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2011	16,1
12 Galicia	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2010	18,1
12 Galicia	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2009	20,6
12 Galicia	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2008	20,9
12 Galicia	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2020	18,2
12 Galicia	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2019	16,2
12 Galicia	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2018	15,3
12 Galicia	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2017	16,6
12 Galicia	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2016	14,4
12 Galicia	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2015	15,0
12 Galicia	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2014	13,4
12 Galicia	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2013	14,2
12 Galicia	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2012	15,1
12 Galicia	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2011	14,2
12 Galicia	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2010	14,4
12 Galicia	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2009	16,2
12 Galicia	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2008	16,6
13 Madrid, Comunidad de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2020	15,4
13 Madrid, Comunidad de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2019	15,0
13 Madrid, Comunidad de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2018	16,1
13 Madrid, Comunidad de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2017	16,9
13 Madrid, Comunidad de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2016	18,2
13 Madrid, Comunidad de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2015	15,1
13 Madrid, Comunidad de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2014	14,7
13 Madrid, Comunidad de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2013	13,4
13 Madrid, Comunidad de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2012	14,2
13 Madrid, Comunidad de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2011	14,0
13 Madrid, Comunidad de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2010	14,4
13 Madrid, Comunidad de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2009	15,9
13 Madrid, Comunidad de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2008	14,9
13 Madrid, Comunidad de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2020	13,8
13 Madrid, Comunidad de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2019	14,6
13 Madrid, Comunidad de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2018	15,4
13 Madrid, Comunidad de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2017	16,6
13 Madrid, Comunidad de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2016	16,5
13 Madrid, Comunidad de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2015	14,3
13 Madrid, Comunidad de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2014	14,0
13 Madrid, Comunidad de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2013	13,6
13 Madrid, Comunidad de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2012	13,7
13 Madrid, Comunidad de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2011	12,6
13 Madrid, Comunidad de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2010	12,1
13 Madrid, Comunidad de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2009	13,9
13 Madrid, Comunidad de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2008	14,3
14 Murcia, Región de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2020	25,0
14 Murcia, Región de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2019	27,7
14 Murcia, Región de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2018	28,6
14 Murcia, Región de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2017	30,1
14 Murcia, Región de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2016	28,9
14 Murcia, Región de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2015	31,8
14 Murcia, Región de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2014	37,2
14 Murcia, Región de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2013	26,8
14 Murcia, Región de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2012	25,2
14 Murcia, Región de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2011	25,8
14 Murcia, Región de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2010	29,8
14 Murcia, Región de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2009	29,1
14 Murcia, Región de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2008	24,5
14 Murcia, Región de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2020	20,4
14 Murcia, Región de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2019	25,9
14 Murcia, Región de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2018	25,0
14 Murcia, Región de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2017	25,9
14 Murcia, Región de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2016	26,4
14 Murcia, Región de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2015	27,9
14 Murcia, Región de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2014	32,4
14 Murcia, Región de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2013	24,5
14 Murcia, Región de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2012	25,3
14 Murcia, Región de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2011	24,8
14 Murcia, Región de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2010	27,0
14 Murcia, Región de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2009	27,7
14 Murcia, Región de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2008	21,6
15 Navarra, Comunidad Foral de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2020	9,9
15 Navarra, Comunidad Foral de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2019	7,7
15 Navarra, Comunidad Foral de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2018	8,9
15 Navarra, Comunidad Foral de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2017	8,3
15 Navarra, Comunidad Foral de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2016	9,0
15 Navarra, Comunidad Foral de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2015	9,6
15 Navarra, Comunidad Foral de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2014	11,9
15 Navarra, Comunidad Foral de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2013	9,9
15 Navarra, Comunidad Foral de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2012	7,0
15 Navarra, Comunidad Foral de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2011	8,1
15 Navarra, Comunidad Foral de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2010	10,7
15 Navarra, Comunidad Foral de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2009	7,8
15 Navarra, Comunidad Foral de	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2008	5,9
15 Navarra, Comunidad Foral de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2020	9,6
15 Navarra, Comunidad Foral de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2019	7,8
15 Navarra, Comunidad Foral de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2018	8,4
15 Navarra, Comunidad Foral de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2017	8,4
15 Navarra, Comunidad Foral de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2016	8,7
15 Navarra, Comunidad Foral de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2015	8,0
15 Navarra, Comunidad Foral de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2014	11,0
15 Navarra, Comunidad Foral de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2013	8,9
15 Navarra, Comunidad Foral de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2012	10,0
15 Navarra, Comunidad Foral de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2011	6,1
15 Navarra, Comunidad Foral de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2010	8,2
15 Navarra, Comunidad Foral de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2009	7,2
15 Navarra, Comunidad Foral de	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2008	6,4
16 País Vasco	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2020	10,0
16 País Vasco	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2019	10,0
16 País Vasco	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2018	8,6
16 País Vasco	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2017	9,7
16 País Vasco	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2016	9,0
16 País Vasco	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2015	10,9
16 País Vasco	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2014	10,2
16 País Vasco	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2013	10,5
16 País Vasco	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2012	13,3
16 País Vasco	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2011	13,8
16 País Vasco	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2010	11,7
16 País Vasco	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2009	10,0
16 País Vasco	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2008	9,1
16 País Vasco	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2020	9,0
16 País Vasco	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2019	8,0
16 País Vasco	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2018	7,7
16 País Vasco	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2017	8,6
16 País Vasco	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2016	7,4
16 País Vasco	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2015	9,0
16 País Vasco	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2014	8,3
16 País Vasco	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2013	8,3
16 País Vasco	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2012	10,1
16 País Vasco	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2011	10,4
16 País Vasco	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2010	9,1
16 País Vasco	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2009	6,3
16 País Vasco	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2008	6,0
17 Rioja, La	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2020	15,0
17 Rioja, La	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2019	12,3
17 Rioja, La	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2018	16,6
17 Rioja, La	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2017	9,7
17 Rioja, La	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2016	11,9
17 Rioja, La	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2015	17,1
17 Rioja, La	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2014	16,2
17 Rioja, La	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2013	19,3
17 Rioja, La	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2012	16,8
17 Rioja, La	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2011	20,6
17 Rioja, La	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2010	21,2
17 Rioja, La	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2009	17,2
17 Rioja, La	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2008	16,2
17 Rioja, La	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2020	14,2
17 Rioja, La	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2019	12,3
17 Rioja, La	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2018	14,2
17 Rioja, La	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2017	11,2
17 Rioja, La	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2016	14,2
17 Rioja, La	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2015	15,3
17 Rioja, La	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2014	17,8
17 Rioja, La	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2013	17,2
17 Rioja, La	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2012	16,6
17 Rioja, La	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2011	16,6
17 Rioja, La	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2010	18,7
17 Rioja, La	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2009	18,5
17 Rioja, La	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2008	14,2
18 Ceuta	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2020	35,3
18 Ceuta	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2019	40,6
18 Ceuta	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2018	38,3
18 Ceuta	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2017	32,5
18 Ceuta	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2016	36,0
18 Ceuta	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2015	31,0
18 Ceuta	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2014	44,3
18 Ceuta	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2013	40,8
18 Ceuta	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2012	32,2
18 Ceuta	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2011	26,3
18 Ceuta	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2010	31,3
18 Ceuta	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2009	36,4
18 Ceuta	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2008	40,1
18 Ceuta	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2020	35,6
18 Ceuta	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2019	36,1
18 Ceuta	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2018	39,7
18 Ceuta	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2017	31,1
18 Ceuta	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2016	28,0
18 Ceuta	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2015	25,2
18 Ceuta	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2014	40,2
18 Ceuta	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2013	35,9
18 Ceuta	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2012	27,6
18 Ceuta	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2011	23,3
18 Ceuta	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2010	25,7
18 Ceuta	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2009	30,1
18 Ceuta	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2008	37,3
19 Melilla	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2020	36,3
19 Melilla	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2019	35,7
19 Melilla	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2018	21,4
19 Melilla	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2017	26,2
19 Melilla	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2016	21,8
19 Melilla	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2015	25,8
19 Melilla	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2014	19,2
19 Melilla	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2013	21,7
19 Melilla	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2012	8,6
19 Melilla	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2011	26,5
19 Melilla	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2010	25,8
19 Melilla	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2009	30,0
19 Melilla	Tasa de riesgo de pobreza (renta del año anterior a la entrevista)	2008	17,7
19 Melilla	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2020	33,9
19 Melilla	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2019	29,7
19 Melilla	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2018	19,3
19 Melilla	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2017	27,0
19 Melilla	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2016	21,1
19 Melilla	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2015	28,1
19 Melilla	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2014	20,1
19 Melilla	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2013	20,7
19 Melilla	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2012	11,0
19 Melilla	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2011	21,9
19 Melilla	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2010	22,3
19 Melilla	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2009	25,5
19 Melilla	Tasa de riesgo de pobreza (con alquiler imputado) (renta del año anterior a la entrevista)	2008	18,3
