"Año";"Periodo";"Parámetro";"Salida y puesta del sol"
"2019";"Diciembre";"Valencia";"9,44"
"2019";"Diciembre";"Valladolid";"9,22"
"2019";"Diciembre";"Vizcaya";"9,04"
"2019";"Diciembre";"Zamora";"9,23"
"2019";"Diciembre";"Zaragoza";"9,22"
"2019";"Diciembre";"Ceuta";"9,77"
"2019";"Diciembre";"Melilla";"9,83"
;;
;;
"Métrica":"Salida y puesta del sol"
"Fuente":"IGN"
"Clasificación":""
"Unidad":"Media de horas de luz"
"Escala":"Unidades"
"EscalaFactorPotencia10":"0"
"SonDatosNumericos":"True"
;;
;;
"Url":"https://www.epdata.es/horas-luz-provincias-2019/6841c77e-e946-420e-a0c4-cff4de1154f3"
"Titulo":"Horas de luz por provincias 2019"
"Subtitulo":""
