,Sexo,codPr,Provincias,Periodo,Year,Trimestre,mes,date,actividad,empleo,paro
901,Hombres,20,Guipúzcoa,2019T3,2019,3,9,2019-09-25,60.76,57.93,4.66
902,Hombres,20,Guipúzcoa,2019T2,2019,2,6,2019-06-25,61.87,56.82,8.15
903,Hombres,20,Guipúzcoa,2019T1,2019,1,3,2019-03-25,60.16,55.31,8.06
904,Hombres,20,Guipúzcoa,2018T4,2018,4,12,2018-12-25,60.69,56.53,6.85
905,Hombres,20,Guipúzcoa,2018T3,2018,3,9,2018-09-25,61.62,57.09,7.34
906,Hombres,20,Guipúzcoa,2018T2,2018,2,6,2018-06-25,63.27,58.92,6.88
907,Hombres,20,Guipúzcoa,2018T1,2018,1,3,2018-03-25,63.39,58.77,7.28
908,Hombres,20,Guipúzcoa,2017T4,2017,4,12,2017-12-25,63.34,58.21,8.1
909,Hombres,20,Guipúzcoa,2017T3,2017,3,9,2017-09-25,62.74,58.1,7.39
910,Hombres,20,Guipúzcoa,2017T2,2017,2,6,2017-06-25,62.19,58.15,6.49
911,Hombres,20,Guipúzcoa,2017T1,2017,1,3,2017-03-25,61.65,56.11,8.99
912,Hombres,20,Guipúzcoa,2016T4,2016,4,12,2016-12-25,61.85,56.08,9.33
913,Hombres,20,Guipúzcoa,2016T3,2016,3,9,2016-09-25,63.72,58.08,8.86
914,Hombres,20,Guipúzcoa,2016T2,2016,2,6,2016-06-25,63.86,57.91,9.32
915,Hombres,20,Guipúzcoa,2016T1,2016,1,3,2016-03-25,63.25,57.33,9.36
947,Hombres,17,Girona,2019T4,2019,4,12,2019-12-25,66.3,59.71,9.94
948,Hombres,17,Girona,2019T3,2019,3,9,2019-09-25,67.2,62.32,7.27
949,Hombres,17,Girona,2019T2,2019,2,6,2019-06-25,68.04,61.12,10.16
950,Hombres,17,Girona,2019T1,2019,1,3,2019-03-25,68.02,59.75,12.16
951,Hombres,17,Girona,2018T4,2018,4,12,2018-12-25,67.99,59.88,11.94
952,Hombres,17,Girona,2018T3,2018,3,9,2018-09-25,69.07,63.08,8.66
953,Hombres,17,Girona,2018T2,2018,2,6,2018-06-25,67.6,60.72,10.19
954,Hombres,17,Girona,2018T1,2018,1,3,2018-03-25,66.17,57.44,13.2
955,Hombres,17,Girona,2017T4,2017,4,12,2017-12-25,67.09,58.25,13.17
956,Hombres,17,Girona,2017T3,2017,3,9,2017-09-25,68.8,59.95,12.86
957,Hombres,17,Girona,2017T2,2017,2,6,2017-06-25,67.37,58.97,12.48
958,Hombres,17,Girona,2017T1,2017,1,3,2017-03-25,65.66,54.49,17.01
959,Hombres,17,Girona,2016T4,2016,4,12,2016-12-25,66.27,56.35,14.97
960,Hombres,17,Girona,2016T3,2016,3,9,2016-09-25,67.48,57.37,14.99
961,Hombres,17,Girona,2016T2,2016,2,6,2016-06-25,65.95,55.14,16.4
962,Hombres,17,Girona,2016T1,2016,1,3,2016-03-25,66.1,54.66,17.3
994,Hombres,18,Granada,2019T4,2019,4,12,2019-12-25,63.51,53.16,16.29
995,Hombres,18,Granada,2019T3,2019,3,9,2019-09-25,63.86,50.18,21.42
996,Hombres,18,Granada,2019T2,2019,2,6,2019-06-25,64.6,50.84,21.3
997,Hombres,18,Granada,2019T1,2019,1,3,2019-03-25,62.99,52.39,16.83
998,Hombres,18,Granada,2018T4,2018,4,12,2018-12-25,63.49,51.54,18.82
999,Hombres,18,Granada,2018T3,2018,3,9,2018-09-25,64.81,50.64,21.87
1000,Hombres,18,Granada,2018T2,2018,2,6,2018-06-25,62.61,49.46,20.99
1001,Hombres,18,Granada,2018T1,2018,1,3,2018-03-25,64.34,50.46,21.57
1002,Hombres,18,Granada,2017T4,2017,4,12,2017-12-25,63.65,48.46,23.87
1003,Hombres,18,Granada,2017T3,2017,3,9,2017-09-25,63.66,48.13,24.4
1004,Hombres,18,Granada,2017T2,2017,2,6,2017-06-25,64.65,49.7,23.12
1005,Hombres,18,Granada,2017T1,2017,1,3,2017-03-25,64.07,49.43,22.85
1006,Hombres,18,Granada,2016T4,2016,4,12,2016-12-25,63.85,46.9,26.55
1007,Hombres,18,Granada,2016T3,2016,3,9,2016-09-25,63.2,46.74,26.06
1008,Hombres,18,Granada,2016T2,2016,2,6,2016-06-25,66.16,46.78,29.29
1009,Hombres,18,Granada,2016T1,2016,1,3,2016-03-25,65.13,47.36,27.28
1041,Hombres,19,Guadalajara,2019T4,2019,4,12,2019-12-25,71.09,63.69,10.41
1042,Hombres,19,Guadalajara,2019T3,2019,3,9,2019-09-25,71.88,65.13,9.38
1043,Hombres,19,Guadalajara,2019T2,2019,2,6,2019-06-25,72.09,63.58,11.81
1044,Hombres,19,Guadalajara,2019T1,2019,1,3,2019-03-25,71.11,64.02,9.97
1045,Hombres,19,Guadalajara,2018T4,2018,4,12,2018-12-25,72.22,64.89,10.14
1046,Hombres,19,Guadalajara,2018T3,2018,3,9,2018-09-25,72.76,66.61,8.44
1047,Hombres,19,Guadalajara,2018T2,2018,2,6,2018-06-25,70.21,63.65,9.35
1048,Hombres,19,Guadalajara,2018T1,2018,1,3,2018-03-25,69.61,62.38,10.39
1049,Hombres,19,Guadalajara,2017T4,2017,4,12,2017-12-25,69.48,63.71,8.3
1050,Hombres,19,Guadalajara,2017T3,2017,3,9,2017-09-25,69.97,62.22,11.07
1051,Hombres,19,Guadalajara,2017T2,2017,2,6,2017-06-25,68.04,59.12,13.11
1052,Hombres,19,Guadalajara,2017T1,2017,1,3,2017-03-25,69.51,59.26,14.74
1053,Hombres,19,Guadalajara,2016T4,2016,4,12,2016-12-25,71.75,59.27,17.4
1054,Hombres,19,Guadalajara,2016T3,2016,3,9,2016-09-25,71.06,58.71,17.39
1055,Hombres,19,Guadalajara,2016T2,2016,2,6,2016-06-25,69.59,59.05,15.15
1056,Hombres,19,Guadalajara,2016T1,2016,1,3,2016-03-25,70.01,60.2,14.02
1088,Hombres,21,Huelva,2019T4,2019,4,12,2019-12-25,61.63,50.35,18.31
1089,Hombres,21,Huelva,2019T3,2019,3,9,2019-09-25,63.19,50.91,19.43
1090,Hombres,21,Huelva,2019T2,2019,2,6,2019-06-25,63.69,53.53,15.95
1091,Hombres,21,Huelva,2019T1,2019,1,3,2019-03-25,63.34,51.55,18.61
1092,Hombres,21,Huelva,2018T4,2018,4,12,2018-12-25,62.42,49.06,21.41
1093,Hombres,21,Huelva,2018T3,2018,3,9,2018-09-25,62.47,47.78,23.51
1094,Hombres,21,Huelva,2018T2,2018,2,6,2018-06-25,60.74,48.58,20.01
1095,Hombres,21,Huelva,2018T1,2018,1,3,2018-03-25,63.8,50.59,20.7
1096,Hombres,21,Huelva,2017T4,2017,4,12,2017-12-25,64.29,50.37,21.66
1097,Hombres,21,Huelva,2017T3,2017,3,9,2017-09-25,64.51,49.94,22.6
1098,Hombres,21,Huelva,2017T2,2017,2,6,2017-06-25,64.62,52.09,19.39
1099,Hombres,21,Huelva,2017T1,2017,1,3,2017-03-25,64.93,49.19,24.25
1100,Hombres,21,Huelva,2016T4,2016,4,12,2016-12-25,63.81,47.04,26.29
1101,Hombres,21,Huelva,2016T3,2016,3,9,2016-09-25,63.36,46.26,26.99
1102,Hombres,21,Huelva,2016T2,2016,2,6,2016-06-25,63.04,47.17,25.18
1103,Hombres,21,Huelva,2016T1,2016,1,3,2016-03-25,63.31,45.59,27.99
1135,Hombres,22,Huesca,2019T4,2019,4,12,2019-12-25,65.81,59.61,9.42
1136,Hombres,22,Huesca,2019T3,2019,3,9,2019-09-25,67.08,62.67,6.58
1137,Hombres,22,Huesca,2019T2,2019,2,6,2019-06-25,66.19,59.76,9.71
1138,Hombres,22,Huesca,2019T1,2019,1,3,2019-03-25,65.2,59.39,8.91
1139,Hombres,22,Huesca,2018T4,2018,4,12,2018-12-25,63.75,57.73,9.44
1140,Hombres,22,Huesca,2018T3,2018,3,9,2018-09-25,65.11,61.32,5.81
1141,Hombres,22,Huesca,2018T2,2018,2,6,2018-06-25,63.22,58.85,6.92
1142,Hombres,22,Huesca,2018T1,2018,1,3,2018-03-25,63.7,58.31,8.47
1143,Hombres,22,Huesca,2017T4,2017,4,12,2017-12-25,64.51,60.98,5.47
1144,Hombres,22,Huesca,2017T3,2017,3,9,2017-09-25,63.79,59.77,6.3
1145,Hombres,22,Huesca,2017T2,2017,2,6,2017-06-25,62.79,57.51,8.41
1146,Hombres,22,Huesca,2017T1,2017,1,3,2017-03-25,62.92,56.26,10.57
1147,Hombres,22,Huesca,2016T4,2016,4,12,2016-12-25,62.23,55.23,11.25
1148,Hombres,22,Huesca,2016T3,2016,3,9,2016-09-25,63.94,57.28,10.42
1149,Hombres,22,Huesca,2016T2,2016,2,6,2016-06-25,62.26,55.74,10.47
1150,Hombres,22,Huesca,2016T1,2016,1,3,2016-03-25,61.76,54.74,11.37
1182,Hombres,23,Jaén,2019T4,2019,4,12,2019-12-25,59.3,49.89,15.88
1183,Hombres,23,Jaén,2019T3,2019,3,9,2019-09-25,59.05,48.27,18.26
1184,Hombres,23,Jaén,2019T2,2019,2,6,2019-06-25,59.29,48.38,18.39
1185,Hombres,23,Jaén,2019T1,2019,1,3,2019-03-25,59.31,49.39,16.71
1186,Hombres,23,Jaén,2018T4,2018,4,12,2018-12-25,59.14,49.36,16.53
1187,Hombres,23,Jaén,2018T3,2018,3,9,2018-09-25,58.89,46.37,21.26
1188,Hombres,23,Jaén,2018T2,2018,2,6,2018-06-25,60.24,46.17,23.35
1189,Hombres,23,Jaén,2018T1,2018,1,3,2018-03-25,61.81,49.3,20.23
1190,Hombres,23,Jaén,2017T4,2017,4,12,2017-12-25,62.17,49.95,19.65
1191,Hombres,23,Jaén,2017T3,2017,3,9,2017-09-25,62.63,48.8,22.08
1192,Hombres,23,Jaén,2017T2,2017,2,6,2017-06-25,63.86,45.78,28.32
1193,Hombres,23,Jaén,2017T1,2017,1,3,2017-03-25,64.13,49.6,22.66
1194,Hombres,23,Jaén,2016T4,2016,4,12,2016-12-25,62.72,46.82,25.36
1195,Hombres,23,Jaén,2016T3,2016,3,9,2016-09-25,61.99,44.16,28.76
1196,Hombres,23,Jaén,2016T2,2016,2,6,2016-06-25,61.73,42.66,30.89
1197,Hombres,23,Jaén,2016T1,2016,1,3,2016-03-25,61.87,45.3,26.78
1229,Hombres,24,León,2019T4,2019,4,12,2019-12-25,56.74,50.11,11.69
1230,Hombres,24,León,2019T3,2019,3,9,2019-09-25,58.09,51.74,10.93
1231,Hombres,24,León,2019T2,2019,2,6,2019-06-25,58.58,52.34,10.64
1232,Hombres,24,León,2019T1,2019,1,3,2019-03-25,55.83,49.65,11.08
1233,Hombres,24,León,2018T4,2018,4,12,2018-12-25,55.74,50.17,9.99
1234,Hombres,24,León,2018T3,2018,3,9,2018-09-25,56.67,51.43,9.25
1235,Hombres,24,León,2018T2,2018,2,6,2018-06-25,54.92,50.14,8.7
1236,Hombres,24,León,2018T1,2018,1,3,2018-03-25,54.19,47.8,11.79
1237,Hombres,24,León,2017T4,2017,4,12,2017-12-25,53.97,47.48,12.02
1238,Hombres,24,León,2017T3,2017,3,9,2017-09-25,55.38,47.66,13.94
1239,Hombres,24,León,2017T2,2017,2,6,2017-06-25,56.68,48.06,15.21
1240,Hombres,24,León,2017T1,2017,1,3,2017-03-25,56.06,46.26,17.47
1241,Hombres,24,León,2016T4,2016,4,12,2016-12-25,55.99,45.87,18.07
1242,Hombres,24,León,2016T3,2016,3,9,2016-09-25,57.11,47.97,16.0
1243,Hombres,24,León,2016T2,2016,2,6,2016-06-25,55.9,44.81,19.83
1244,Hombres,24,León,2016T1,2016,1,3,2016-03-25,54.61,43.32,20.67
1276,Hombres,25,Lleida,2019T4,2019,4,12,2019-12-25,67.06,62.09,7.41
1277,Hombres,25,Lleida,2019T3,2019,3,9,2019-09-25,68.38,61.91,9.46
1278,Hombres,25,Lleida,2019T2,2019,2,6,2019-06-25,67.21,59.9,10.88
1279,Hombres,25,Lleida,2019T1,2019,1,3,2019-03-25,66.25,59.58,10.07
1280,Hombres,25,Lleida,2018T4,2018,4,12,2018-12-25,67.64,59.82,11.56
1281,Hombres,25,Lleida,2018T3,2018,3,9,2018-09-25,65.37,60.49,7.47
1282,Hombres,25,Lleida,2018T2,2018,2,6,2018-06-25,64.04,57.91,9.58
1283,Hombres,25,Lleida,2018T1,2018,1,3,2018-03-25,61.27,54.97,10.27
1284,Hombres,25,Lleida,2017T4,2017,4,12,2017-12-25,65.3,57.63,11.74
1285,Hombres,25,Lleida,2017T3,2017,3,9,2017-09-25,66.69,60.85,8.76
1286,Hombres,25,Lleida,2017T2,2017,2,6,2017-06-25,65.27,58.51,10.37
1287,Hombres,25,Lleida,2017T1,2017,1,3,2017-03-25,65.13,59.14,9.2
1288,Hombres,25,Lleida,2016T4,2016,4,12,2016-12-25,64.73,58.61,9.46
1289,Hombres,25,Lleida,2016T3,2016,3,9,2016-09-25,65.2,60.21,7.66
1290,Hombres,25,Lleida,2016T2,2016,2,6,2016-06-25,67.47,61.11,9.42
1291,Hombres,25,Lleida,2016T1,2016,1,3,2016-03-25,70.53,61.6,12.65
1323,Hombres,27,Lugo,2019T4,2019,4,12,2019-12-25,56.06,51.62,7.93
1324,Hombres,27,Lugo,2019T3,2019,3,9,2019-09-25,55.01,51.69,6.04
1325,Hombres,27,Lugo,2019T2,2019,2,6,2019-06-25,53.84,50.01,7.11
1326,Hombres,27,Lugo,2019T1,2019,1,3,2019-03-25,53.37,48.58,8.96
1327,Hombres,27,Lugo,2018T4,2018,4,12,2018-12-25,55.75,51.75,7.18
1328,Hombres,27,Lugo,2018T3,2018,3,9,2018-09-25,56.42,52.56,6.85
1329,Hombres,27,Lugo,2018T2,2018,2,6,2018-06-25,54.99,50.72,7.78
1330,Hombres,27,Lugo,2018T1,2018,1,3,2018-03-25,55.21,50.46,8.6
1331,Hombres,27,Lugo,2017T4,2017,4,12,2017-12-25,56.61,50.57,10.67
1332,Hombres,27,Lugo,2017T3,2017,3,9,2017-09-25,57.51,51.89,9.76
1333,Hombres,27,Lugo,2017T2,2017,2,6,2017-06-25,56.8,49.88,12.18
1334,Hombres,27,Lugo,2017T1,2017,1,3,2017-03-25,56.81,49.09,13.59
1335,Hombres,27,Lugo,2016T4,2016,4,12,2016-12-25,55.6,47.93,13.78
1336,Hombres,27,Lugo,2016T3,2016,3,9,2016-09-25,56.78,48.97,13.77
1337,Hombres,27,Lugo,2016T2,2016,2,6,2016-06-25,57.44,49.64,13.59
1338,Hombres,27,Lugo,2016T1,2016,1,3,2016-03-25,57.0,48.41,15.07
1370,Hombres,28,Madrid,2019T4,2019,4,12,2019-12-25,68.05,61.65,9.4
1371,Hombres,28,Madrid,2019T3,2019,3,9,2019-09-25,67.72,61.35,9.41
1372,Hombres,28,Madrid,2019T2,2019,2,6,2019-06-25,67.78,61.14,9.8
1373,Hombres,28,Madrid,2019T1,2019,1,3,2019-03-25,67.67,60.47,10.64
1374,Hombres,28,Madrid,2018T4,2018,4,12,2018-12-25,68.29,60.73,11.07
1375,Hombres,28,Madrid,2018T3,2018,3,9,2018-09-25,68.29,60.64,11.2
1376,Hombres,28,Madrid,2018T2,2018,2,6,2018-06-25,68.4,60.62,11.36
1377,Hombres,28,Madrid,2018T1,2018,1,3,2018-03-25,68.69,59.86,12.85
1378,Hombres,28,Madrid,2017T4,2017,4,12,2017-12-25,68.24,59.37,13.0
1379,Hombres,28,Madrid,2017T3,2017,3,9,2017-09-25,68.52,60.43,11.81
1380,Hombres,28,Madrid,2017T2,2017,2,6,2017-06-25,68.04,59.35,12.78
1381,Hombres,28,Madrid,2017T1,2017,1,3,2017-03-25,68.09,58.84,13.58
1382,Hombres,28,Madrid,2016T4,2016,4,12,2016-12-25,68.47,58.78,14.15
1383,Hombres,28,Madrid,2016T3,2016,3,9,2016-09-25,68.66,58.84,14.3
1384,Hombres,28,Madrid,2016T2,2016,2,6,2016-06-25,69.23,58.37,15.69
1385,Hombres,28,Madrid,2016T1,2016,1,3,2016-03-25,69.52,58.47,15.88
1417,Hombres,29,Málaga,2019T4,2019,4,12,2019-12-25,61.61,51.62,16.22
1418,Hombres,29,Málaga,2019T3,2019,3,9,2019-09-25,62.49,52.79,15.52
1419,Hombres,29,Málaga,2019T2,2019,2,6,2019-06-25,62.9,52.98,15.76
1420,Hombres,29,Málaga,2019T1,2019,1,3,2019-03-25,62.95,53.7,14.69
1421,Hombres,29,Málaga,2018T4,2018,4,12,2018-12-25,64.65,55.87,13.57
1422,Hombres,29,Málaga,2018T3,2018,3,9,2018-09-25,64.68,55.53,14.14
1423,Hombres,29,Málaga,2018T2,2018,2,6,2018-06-25,64.54,53.53,17.07
1424,Hombres,29,Málaga,2018T1,2018,1,3,2018-03-25,62.58,51.11,18.33
1425,Hombres,29,Málaga,2017T4,2017,4,12,2017-12-25,61.18,49.92,18.41
1426,Hombres,29,Málaga,2017T3,2017,3,9,2017-09-25,62.02,49.59,20.04
1427,Hombres,29,Málaga,2017T2,2017,2,6,2017-06-25,61.62,48.85,20.72
1428,Hombres,29,Málaga,2017T1,2017,1,3,2017-03-25,62.03,47.08,24.1
1429,Hombres,29,Málaga,2016T4,2016,4,12,2016-12-25,62.14,47.04,24.29
1430,Hombres,29,Málaga,2016T3,2016,3,9,2016-09-25,63.37,48.8,22.99
1431,Hombres,29,Málaga,2016T2,2016,2,6,2016-06-25,62.33,47.97,23.04
1432,Hombres,29,Málaga,2016T1,2016,1,3,2016-03-25,64.46,49.05,23.91
1464,Hombres,30,Murcia,2019T4,2019,4,12,2019-12-25,66.68,58.05,12.95
1465,Hombres,30,Murcia,2019T3,2019,3,9,2019-09-25,66.26,58.17,12.2
1466,Hombres,30,Murcia,2019T2,2019,2,6,2019-06-25,66.49,59.33,10.77
1467,Hombres,30,Murcia,2019T1,2019,1,3,2019-03-25,66.2,58.53,11.59
1468,Hombres,30,Murcia,2018T4,2018,4,12,2018-12-25,66.39,58.39,12.05
1469,Hombres,30,Murcia,2018T3,2018,3,9,2018-09-25,66.49,57.42,13.63
1470,Hombres,30,Murcia,2018T2,2018,2,6,2018-06-25,67.06,58.32,13.03
1471,Hombres,30,Murcia,2018T1,2018,1,3,2018-03-25,66.09,56.24,14.9
1472,Hombres,30,Murcia,2017T4,2017,4,12,2017-12-25,66.7,56.66,15.05
1473,Hombres,30,Murcia,2017T3,2017,3,9,2017-09-25,66.97,56.15,16.16
1474,Hombres,30,Murcia,2017T2,2017,2,6,2017-06-25,66.27,57.03,13.94
1475,Hombres,30,Murcia,2017T1,2017,1,3,2017-03-25,66.99,56.45,15.72
1476,Hombres,30,Murcia,2016T4,2016,4,12,2016-12-25,66.39,56.01,15.64
1477,Hombres,30,Murcia,2016T3,2016,3,9,2016-09-25,67.75,55.51,18.06
1478,Hombres,30,Murcia,2016T2,2016,2,6,2016-06-25,68.09,56.81,16.57
1479,Hombres,30,Murcia,2016T1,2016,1,3,2016-03-25,67.01,54.31,18.95
1511,Hombres,31,Navarra,2019T4,2019,4,12,2019-12-25,63.29,58.15,8.12
1512,Hombres,31,Navarra,2019T3,2019,3,9,2019-09-25,63.86,59.62,6.64
1513,Hombres,31,Navarra,2019T2,2019,2,6,2019-06-25,64.43,60.06,6.78
1514,Hombres,31,Navarra,2019T1,2019,1,3,2019-03-25,62.32,57.31,8.04
1515,Hombres,31,Navarra,2018T4,2018,4,12,2018-12-25,62.9,57.18,9.11
1516,Hombres,31,Navarra,2018T3,2018,3,9,2018-09-25,64.16,58.99,8.05
1517,Hombres,31,Navarra,2018T2,2018,2,6,2018-06-25,63.95,58.11,9.14
1518,Hombres,31,Navarra,2018T1,2018,1,3,2018-03-25,62.76,56.46,10.04
1519,Hombres,31,Navarra,2017T4,2017,4,12,2017-12-25,63.84,58.84,7.84
1520,Hombres,31,Navarra,2017T3,2017,3,9,2017-09-25,65.73,60.75,7.58
1521,Hombres,31,Navarra,2017T2,2017,2,6,2017-06-25,64.88,60.21,7.2
1522,Hombres,31,Navarra,2017T1,2017,1,3,2017-03-25,63.73,58.42,8.33
1523,Hombres,31,Navarra,2016T4,2016,4,12,2016-12-25,63.69,57.81,9.23
1524,Hombres,31,Navarra,2016T3,2016,3,9,2016-09-25,64.43,57.18,11.25
1525,Hombres,31,Navarra,2016T2,2016,2,6,2016-06-25,61.95,54.97,11.27
1526,Hombres,31,Navarra,2016T1,2016,1,3,2016-03-25,63.6,56.0,11.96
1558,Hombres,32,Ourense,2019T4,2019,4,12,2019-12-25,50.72,44.83,11.62
1559,Hombres,32,Ourense,2019T3,2019,3,9,2019-09-25,51.1,45.01,11.91
1560,Hombres,32,Ourense,2019T2,2019,2,6,2019-06-25,52.45,46.68,11.0
1561,Hombres,32,Ourense,2019T1,2019,1,3,2019-03-25,51.76,44.12,14.77
1562,Hombres,32,Ourense,2018T4,2018,4,12,2018-12-25,51.33,44.42,13.46
1563,Hombres,32,Ourense,2018T3,2018,3,9,2018-09-25,51.81,46.2,10.83
1564,Hombres,32,Ourense,2018T2,2018,2,6,2018-06-25,51.44,45.82,10.94
1565,Hombres,32,Ourense,2018T1,2018,1,3,2018-03-25,51.65,44.25,14.34
1566,Hombres,32,Ourense,2017T4,2017,4,12,2017-12-25,52.19,45.63,12.56
1567,Hombres,32,Ourense,2017T3,2017,3,9,2017-09-25,52.15,45.39,12.96
1568,Hombres,32,Ourense,2017T2,2017,2,6,2017-06-25,51.3,43.34,15.51
1569,Hombres,32,Ourense,2017T1,2017,1,3,2017-03-25,52.62,41.8,20.56
1570,Hombres,32,Ourense,2016T4,2016,4,12,2016-12-25,52.47,43.04,17.98
1571,Hombres,32,Ourense,2016T3,2016,3,9,2016-09-25,54.25,44.64,17.7
1572,Hombres,32,Ourense,2016T2,2016,2,6,2016-06-25,51.44,40.84,20.6
1573,Hombres,32,Ourense,2016T1,2016,1,3,2016-03-25,48.0,38.47,19.86
1605,Hombres,34,Palencia,2019T4,2019,4,12,2019-12-25,58.32,53.81,7.74
1606,Hombres,34,Palencia,2019T3,2019,3,9,2019-09-25,58.45,55.2,5.55
1607,Hombres,34,Palencia,2019T2,2019,2,6,2019-06-25,58.58,51.99,11.25
1608,Hombres,34,Palencia,2019T1,2019,1,3,2019-03-25,58.81,51.71,12.09
1609,Hombres,34,Palencia,2018T4,2018,4,12,2018-12-25,58.41,51.42,11.97
1610,Hombres,34,Palencia,2018T3,2018,3,9,2018-09-25,60.44,54.81,9.32
1611,Hombres,34,Palencia,2018T2,2018,2,6,2018-06-25,61.05,56.66,7.2
1612,Hombres,34,Palencia,2018T1,2018,1,3,2018-03-25,58.77,53.12,9.62
1613,Hombres,34,Palencia,2017T4,2017,4,12,2017-12-25,60.18,53.86,10.5
1614,Hombres,34,Palencia,2017T3,2017,3,9,2017-09-25,60.43,54.95,9.06
1615,Hombres,34,Palencia,2017T2,2017,2,6,2017-06-25,60.76,53.14,12.55
1616,Hombres,34,Palencia,2017T1,2017,1,3,2017-03-25,60.76,53.36,12.17
1617,Hombres,34,Palencia,2016T4,2016,4,12,2016-12-25,64.41,56.29,12.61
1618,Hombres,34,Palencia,2016T3,2016,3,9,2016-09-25,65.73,58.28,11.33
1619,Hombres,34,Palencia,2016T2,2016,2,6,2016-06-25,61.41,53.59,12.74
1620,Hombres,34,Palencia,2016T1,2016,1,3,2016-03-25,61.52,51.31,16.6
1652,Hombres,35,Las Palmas,2019T4,2019,4,12,2019-12-25,65.91,54.12,17.88
1653,Hombres,35,Las Palmas,2019T3,2019,3,9,2019-09-25,63.43,51.05,19.51
1654,Hombres,35,Las Palmas,2019T2,2019,2,6,2019-06-25,64.5,49.88,22.66
1655,Hombres,35,Las Palmas,2019T1,2019,1,3,2019-03-25,64.17,48.85,23.87
1656,Hombres,35,Las Palmas,2018T4,2018,4,12,2018-12-25,64.87,51.67,20.36
1657,Hombres,35,Las Palmas,2018T3,2018,3,9,2018-09-25,66.69,53.53,19.73
1658,Hombres,35,Las Palmas,2018T2,2018,2,6,2018-06-25,65.43,53.68,17.95
1659,Hombres,35,Las Palmas,2018T1,2018,1,3,2018-03-25,65.62,52.92,19.35
1660,Hombres,35,Las Palmas,2017T4,2017,4,12,2017-12-25,66.66,53.27,20.09
1661,Hombres,35,Las Palmas,2017T3,2017,3,9,2017-09-25,65.98,53.12,19.48
1662,Hombres,35,Las Palmas,2017T2,2017,2,6,2017-06-25,66.54,50.69,23.83
1663,Hombres,35,Las Palmas,2017T1,2017,1,3,2017-03-25,64.66,47.44,26.62
1664,Hombres,35,Las Palmas,2016T4,2016,4,12,2016-12-25,64.76,49.64,23.35
1665,Hombres,35,Las Palmas,2016T3,2016,3,9,2016-09-25,66.67,50.33,24.5
1666,Hombres,35,Las Palmas,2016T2,2016,2,6,2016-06-25,66.73,50.27,24.66
1667,Hombres,35,Las Palmas,2016T1,2016,1,3,2016-03-25,67.97,51.93,23.59
1699,Hombres,36,Pontevedra,2019T4,2019,4,12,2019-12-25,58.06,50.91,12.33
1700,Hombres,36,Pontevedra,2019T3,2019,3,9,2019-09-25,59.07,52.41,11.29
1701,Hombres,36,Pontevedra,2019T2,2019,2,6,2019-06-25,58.64,50.45,13.96
1702,Hombres,36,Pontevedra,2019T1,2019,1,3,2019-03-25,58.06,49.32,15.04
1703,Hombres,36,Pontevedra,2018T4,2018,4,12,2018-12-25,58.4,50.61,13.33
1704,Hombres,36,Pontevedra,2018T3,2018,3,9,2018-09-25,58.58,50.79,13.3
1705,Hombres,36,Pontevedra,2018T2,2018,2,6,2018-06-25,58.22,49.48,15.01
1706,Hombres,36,Pontevedra,2018T1,2018,1,3,2018-03-25,57.81,47.9,17.13
1707,Hombres,36,Pontevedra,2017T4,2017,4,12,2017-12-25,57.96,47.79,17.54
1708,Hombres,36,Pontevedra,2017T3,2017,3,9,2017-09-25,58.43,49.28,15.65
1709,Hombres,36,Pontevedra,2017T2,2017,2,6,2017-06-25,58.0,47.25,18.53
1710,Hombres,36,Pontevedra,2017T1,2017,1,3,2017-03-25,58.77,47.5,19.17
1711,Hombres,36,Pontevedra,2016T4,2016,4,12,2016-12-25,59.62,48.63,18.43
1712,Hombres,36,Pontevedra,2016T3,2016,3,9,2016-09-25,60.2,49.42,17.91
1713,Hombres,36,Pontevedra,2016T2,2016,2,6,2016-06-25,60.0,48.18,19.7
1714,Hombres,36,Pontevedra,2016T1,2016,1,3,2016-03-25,60.18,47.85,20.48
1746,Hombres,26,La Rioja,2019T4,2019,4,12,2019-12-25,63.6,57.0,10.39
1747,Hombres,26,La Rioja,2019T3,2019,3,9,2019-09-25,64.66,58.32,9.8
1748,Hombres,26,La Rioja,2019T2,2019,2,6,2019-06-25,64.9,58.39,10.02
1749,Hombres,26,La Rioja,2019T1,2019,1,3,2019-03-25,63.52,56.98,10.29
1750,Hombres,26,La Rioja,2018T4,2018,4,12,2018-12-25,63.41,57.47,9.37
1751,Hombres,26,La Rioja,2018T3,2018,3,9,2018-09-25,64.85,59.48,8.28
1752,Hombres,26,La Rioja,2018T2,2018,2,6,2018-06-25,63.89,58.28,8.78
1753,Hombres,26,La Rioja,2018T1,2018,1,3,2018-03-25,63.02,56.7,10.01
1754,Hombres,26,La Rioja,2017T4,2017,4,12,2017-12-25,65.05,58.91,9.45
1755,Hombres,26,La Rioja,2017T3,2017,3,9,2017-09-25,64.09,56.9,11.22
1756,Hombres,26,La Rioja,2017T2,2017,2,6,2017-06-25,64.21,59.33,7.6
1757,Hombres,26,La Rioja,2017T1,2017,1,3,2017-03-25,65.37,58.91,9.88
1758,Hombres,26,La Rioja,2016T4,2016,4,12,2016-12-25,64.33,58.42,9.19
1759,Hombres,26,La Rioja,2016T3,2016,3,9,2016-09-25,65.23,56.9,12.76
1760,Hombres,26,La Rioja,2016T2,2016,2,6,2016-06-25,66.17,57.93,12.46
